進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
114/01/13,維興,昇達鑫入,20250109021,-2,50BV30,S,1/2 ×,26,× 6R,"                 1,000 ",4B,S.92,,,,,,,,,,,,,,,,
114/01/15,維興,維興入,2219129,-1,50BV30,L,1/2 ×,30,× 6R,"                 3,120 ",39B,L.DIN,147000C,,,,,,,,,,,,,,,
114/01/15,維興,維興入,2219129,-2,50BV30,L,1/2 ×,30,× 6R,"                 1,920 ",24B,長美單,,,,,,,,,,,,,,,,
114/01/16,?德,潮洋入,25116002,-1,50BV30,短套,3/4 ×,22,× 6R,"                 3,076 ",3K,反R,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,?德,潮洋入,25116002,-2,50BV30,短套,3/4 ×,24,× 6R,"                 3,057 ",3K,反R,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,維興,維興入,2219262,-1,50BV30,L,1/2 ×,19,× 大R,"                 3,065 ",3K,L.D﹢2,1A7E190,,,,,,,,,,,,,,,
114/01/16,筌振,三仕入,1140114126,-1,50BV30,短套,3/4 ×,22,× 6R,"                 2,136 ",16B,正R無珠溝,,,,?加工中(第二關),,,,,,,,,,,,
114/01/16,六宏,六宏入,001143,-1,-,長汽,1/2 ×,34,× 6R,"                 1,202 ",4K,車破GS,,,,? 出貨完畢,2K,,                500 ,              698 ,,,,,,,,
113/12/17,杰毅,興信入,AD224120901-02,-4,50BV30,短套,1/2 ×,32,× 6R,                     960 ,8B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224122001-03,-2,50BV30,短套,1/2 ×,10,× 6R,"                 2,700 ",6B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224122001-03,-3,50BV30,短套,1/2 ×,12,× 6R,"                 2,000 ",4B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224122001-03,-4,50BV30,短套,1/2 ×,13,× 6R,"                 2,000 ",4B,RO,,,,-,,,,,,,,,,,,
113/12/13,杰毅,興信入,AD224112209-07,-7,50BV30,短套,1/2 ×,17,× 6R,"                 1,350 ",3B,RO,,,,,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224122001-03,-5,50BV30,短套,1/2 ×,15,× 6R,"                 1,200 ",2B,RO,,,,? 出貨完畢,,,,,,,,,,,,
113/12/13,杰毅,興信入,AD224112209-07,-8,50BV30,短套,1/2 ×,17,× 6R,                     900 ,2B,RO,,,,,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224122001-03,-6,50BV30,短套,1/2 ×,19,× 6R,"                 1,200 ",3B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-1,50BV30,短套,1/2 ×,12,× 12R,                     500 ,1B,RO,,,,? 出貨完畢,,,,,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-2,50BV30,短套,1/2 ×,16,× 12R,"                 2,400 ",4B,RO削花溝珠溝,,,,? 出貨完畢,,,"            2,413 ",,,,,,,,,
114/01/16,杰毅,興信入,AD224123001-05,-3,50BV30,短套,1/2 ×,17,× 12R,"                 1,350 ",3B,RO削花溝珠溝,,,,? 出貨完畢,,,,,,,,,,,,
